Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2019,2019,kg,0.78,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2020,2020,kg,0.83,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2735,"Meat, Other",2021,2021,kg,0.95,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2017,2017,kg,1.08,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2018,2018,kg,1.77,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2019,2019,kg,1.08,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2020,2020,kg,1.87,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2021,2021,kg,2.72,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2017,2017,kg,5.49,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2018,2018,kg,6.13,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2019,2019,kg,6,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2020,2020,kg,6.4,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2021,2021,kg,6.16,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2743,Cream,2017,2017,kg,6.62,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2743,Cream,2018,2018,kg,6.73,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2743,Cream,2019,2019,kg,6.25,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2743,Cream,2020,2020,kg,6.04,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2743,Cream,2021,2021,kg,6.07,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2017,2017,kg,0.63,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2018,2018,kg,0.65,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2019,2019,kg,0.41,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2020,2020,kg,0.5,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2021,2021,kg,0.9,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2017,2017,kg,0,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2018,2018,kg,0,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2019,2019,kg,0,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2020,2020,kg,0,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2782,"Fish, Liver Oil",2021,2021,kg,0,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2017,2017,kg,14.42,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2018,2018,kg,14.91,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2019,2019,kg,17.46,E,Estimated value
